Epochs;Batch Size;Number of Neurons (Hidden Layers);Number of Hidden Layers;Activation;Learning Rate;Optimizer;Starting loss;Final loss;Training accuracy;Testing accuracy
60;32;100;3;sigmoid;0.0001;SGD;16.365131578947366;17.807539682539684
60;32;100;3;sigmoid;0.01;Adam;97.8892543859649;91.66666666666666
60;32;100;3;sigmoid;0.01;SGD;16.365131578947366;17.807539682539684
60;32;100;3;ReLU;0.0001;Adam;99.86293859649122;92.65873015873017
60;32;100;3;ReLU;0.0001;SGD;16.365131578947366;17.807539682539684
60;32;100;3;ReLU;0.01;Adam;98.47861842105263;91.76587301587301
60;32;100;3;ReLU;0.01;SGD;99.83552631578947;92.85714285714286
60;32;500;2;sigmoid;0.0001;Adam;97.5328947368421;90.52579365079364
60;32;500;2;sigmoid;0.0001;SGD;16.365131578947366;17.807539682539684
60;32;500;2;sigmoid;0.01;Adam;16.365131578947366;17.807539682539684
60;32;500;2;sigmoid;0.01;SGD;47.162828947368425;46.230158730158735
60;32;500;2;ReLU;0.0001;Adam;99.91776315789474;93.10515873015873
60;32;500;2;ReLU;0.0001;SGD;16.365131578947366;17.807539682539684
60;32;500;2;ReLU;0.01;Adam;96.9983552631579;89.73214285714286
60;32;500;2;ReLU;0.01;SGD;99.80811403508771;92.90674603174604
60;32;500;3;sigmoid;0.0001;Adam;88.81578947368422;81.94444444444444
60;32;500;3;sigmoid;0.0001;SGD;13.774671052631579;13.095238095238097
60;32;500;3;sigmoid;0.01;Adam;16.365131578947366;17.807539682539684
60;32;500;3;sigmoid;0.01;SGD;16.365131578947366;17.807539682539684
60;32;500;3;ReLU;0.0001;Adam;99.89035087719299;92.90674603174604
60;32;500;3;ReLU;0.0001;SGD;13.774671052631579;11.904761904761903
60;32;500;3;ReLU;0.01;Adam;87.00657894736842;81.29960317460318
60;32;500;3;ReLU;0.01;SGD;99.91776315789474;92.06349206349206
60;64;100;2;sigmoid;0.0001;Adam;75.64418859649122;69.189453125
60;64;100;2;sigmoid;0.0001;SGD;8.922697368421053;9.716796875
60;64;100;2;sigmoid;0.01;Adam;98.97203947368422;90.52734375
60;64;100;2;sigmoid;0.01;SGD;16.365131578947366;17.529296875
60;64;100;2;ReLU;0.0001;Adam;98.3826754385965;90.72265625
60;64;100;2;ReLU;0.0001;SGD;30.208333333333332;30.56640625
60;64;100;2;ReLU;0.01;Adam;98.88980263157895;90.673828125
60;64;100;2;ReLU;0.01;SGD;97.76589912280701;89.74609375
60;64;100;3;sigmoid;0.0001;Adam;62.801535087719294;59.521484375
60;64;100;3;sigmoid;0.0001;SGD;10.019188596491228;9.66796875
60;64;100;3;sigmoid;0.01;Adam;99.35581140350878;90.771484375
60;64;100;3;sigmoid;0.01;SGD;16.365131578947366;17.529296875
60;64;100;3;ReLU;0.0001;Adam;99.0953947368421;91.162109375
60;64;100;3;ReLU;0.0001;SGD;8.977521929824562;7.2265625
60;64;100;3;ReLU;0.01;Adam;99.65734649122807;91.40625
60;64;100;3;ReLU;0.01;SGD;97.83442982456141;90.283203125
60;64;500;2;sigmoid;0.0001;Adam;96.27192982456141;88.28125
60;64;500;2;sigmoid;0.0001;SGD;9.100877192982457;8.30078125
60;64;500;2;sigmoid;0.01;Adam;98.3141447368421;90.13671875
60;64;500;2;sigmoid;0.01;SGD;30.112390350877195;30.17578125
60;64;500;2;ReLU;0.0001;Adam;99.90405701754386;91.89453125
60;64;500;2;ReLU;0.0001;SGD;17.050438596491226;17.87109375
